price,price_per_meter,floor,rooms,repair_type,total_area,distance_to_center,district,house_build_year,house_type,balcony_number,bathroom_many,separate_bathroom,first_floor,geo_lat,geo_lon
9000000,90909,3,3,6,99,234,Центр: Драмтеатр,2000,3,0,0,0,0,57.14289207,65.5477935
8999000,150990,4,1,2,59.6,2582,Заречный,2020,5,2,0,1,0,57.166289,65.559170
8990000,88137,4,2,4,102,3999,Тюменский-1,2007,7,1,0,0,0,57.1121683,65.5741994
8990000,134179,12,2,6,67,4183,Тюменская слобода,2021,5,1,1,1,0,57.119003,65.494199
8990000,126620,9,3,8,71,6193,Мыс,2021,5,1,0,1,0,57.166125,65.639296
8990000,107279,1,3,7,83.8,3280,Тюменский-3,2016,7,1,0,0,1,57.115285,65.553219
8990000,107024,7,3,4,84,3918,3-й Заречный мкр.,2007,3,1,0,1,0,57.178012,65.564206
8990000,95638,4,2,5,94,8043,Звездный городок,2018,4,1,0,0,0,57.181914,65.658682
8980000,115276,1,3,6,77.9,6114,МЖК,2016,7,1,0,1,1,57.09731108,65.59699427
8950000,113291,16,3,6,79,5987,МЖК,2014,4,0,0,1,0,57.097751,65.594227
8950000,124306,11,2,7,72,2925,Южный 2,2020,7,0,0,1,0,57.118340,65.539062
8950000,99444,8,3,6,90,3848,Тюменский-3,2015,3,0,0,1,0,57.110154,65.553525
8930000,141746,9,2,1,63,6299,МЖК,2023,5,0,0,1,0,57.094935,65.595521
8930000,111625,4,3,5,80,7126,Мыс,2015,4,1,0,1,0,57.18015857,65.6427725
8900000,141270,8,2,7,63,3474,Дом Обороны,2012,7,1,0,1,0,57.16144924,65.49702076
8900000,134848,12,2,7,66,7102,Восточный-3,2020,5,0,0,0,0,57.095029,65.619295
8900000,104706,7,3,6,85,5837,МЖК,2013,3,1,1,1,0,57.101838,65.601324
8900000,103009,7,2,7,86.4,2598,Дом Обороны,2005,7,0,1,0,0,57.1566708,65.5085923
8900000,98889,10,3,7,90,7019,Мыс,2011,3,1,0,0,0,57.17845066,65.64271852
8900000,96739,4,3,7,92,3685,3 Микрорайон,1975,3,1,1,0,0,57.11746,65.58042
8900000,88119,10,3,7,101,5430,СМП,2005,7,1,0,0,0,57.18716303,65.58821773
8900000,94681,2,3,4,94,7051,Восточный-3,2012,3,0,0,1,0,57.0952281,65.61841909
8900000,159213,13,2,8,55.9,3296,Московский тракт,2010,7,1,0,0,0,57.129538,65.498018
8880000,160000,1,2,2,55.5,2879,КПД,2016,5,1,1,0,1,57.140519,65.592112
8869990,168631,16,2,4,52.6,3147,Студгородок,2019,5,0,0,1,0,57.156929,65.591701
8850000,89394,4,3,5,99,1680,Южный 2,2001,7,1,0,0,0,57.12936,65.54293
8850000,98333,13,3,6,90,4182,Плеханова,2016,3,1,0,1,0,57.133661,65.478902
8850000,96933,11,3,7,91.3,6949,Восточный-2,2012,7,1,0,1,0,57.097653,65.621087
8850000,83491,8,3,7,106,5454,Ватутино,2008,7,2,1,1,0,57.186168,65.59216134
8830000,89192,8,2,8,99,1586,Центр: Исторический,2009,7,1,1,0,0,57.15708539,65.55701026
8830000,133788,5,2,8,66,3722,Тюменский-3,2014,3,1,0,1,0,57.111498,65.555905
8816000,160000,4,2,2,55.1,3124,КПД,2016,5,1,0,1,0,57.140903,65.596296
8800000,94624,9,3,1,93,4664,Тюменский-1,2016,7,1,0,1,0,57.107133,65.580223
8800000,158559,6,2,8,55.5,5739,МЖК,2016,4,0,0,1,0,57.09807383,65.58660076
8800000,157143,5,2,7,56,4746,Ново-Патрушево,2020,3,0,0,1,0,57.102538,65.559768
8800000,146667,14,2,8,60,3137,КПД,2014,7,1,0,0,0,57.141860,65.596701
8800000,116402,13,2,7,75.6,4412,Тюменский-1,2009,7,1,0,1,0,57.10825699,65.57492267
8800000,110276,15,2,7,79.8,5719,МЖК,2014,4,1,0,1,0,57.09933038,65.59036471
8800000,102088,5,2,4,86.2,1814,Червишевский тракт,2009,4,1,1,1,0,57.13141407,65.5270155
8800000,94726,8,3,7,92.9,3324,Дом Обороны,2005,7,0,0,1,0,57.15887199,65.49706568
8768000,160000,5,2,2,54.8,3124,КПД,2016,5,1,0,0,0,57.140903,65.596296
8750000,97007,14,3,6,90.2,4077,Тюменский-3,2011,3,1,0,1,0,57.10859427,65.55914825
8750000,119863,4,3,7,73,8043,Звездный городок,2018,4,1,0,1,0,57.181914,65.658682
8750000,116667,1,3,7,75,3548,Южный мкр.,2016,7,1,0,1,1,57.11432743,65.52573092
8700000,93851,15,3,7,92.7,5044,Ново-Патрушево,2019,3,0,0,0,0,57.100440,65.565176
8700000,166667,16,2,7,52.2,3286,Тюменский-3,2016,7,1,0,1,0,57.114929,65.547632
8700000,150780,7,1,8,57.7,842,Центр: Драмтеатр,2010,7,1,0,0,0,57.13749536,65.55076697
8700000,144279,3,2,8,60.3,3137,КПД,2014,7,0,0,1,0,57.141860,65.596701
8700000,136792,3,2,8,63.6,2732,Заречный,2021,4,1,0,0,0,57.168848,65.541416
8700000,129272,10,2,8,67.3,5991,Ново-Патрушево,2021,3,1,0,1,0,57.093722,65.578255
8700000,124286,4,3,8,70,7639,Звездный городок,2017,4,1,0,0,0,57.178407,65.654738
